,Active Humans,Active Bots,Deactivated Humans,Deactivated Bots,Average Human Satisfaction
295,122,2,0,40,99.994920862691
296,122,2,0,40,99.97953519963937
297,122,2,0,40,99.94764596470839
298,122,2,0,40,99.9962528898696
299,122,2,0,40,99.97792571073018
300,122,2,0,40,99.98542084155766
301,122,2,0,40,99.9973346677983
302,122,2,0,40,100.0
303,122,2,0,40,100.0
304,122,1,0,41,99.99883181628874
305,122,1,0,41,100.0
306,122,1,0,41,99.99951384311446
307,122,1,0,41,100.0
308,122,1,0,41,99.98965264342925
309,122,1,0,41,99.98857156499864
310,122,1,0,41,99.99697350195743
311,122,1,0,41,99.99879798656092
312,122,1,0,41,99.99998365208079
313,122,1,0,41,100.0
314,122,1,0,41,99.99907361359972
315,122,1,0,41,99.99983947655547
316,123,1,0,41,99.9987191050354
317,123,1,0,41,99.99413738335967
318,123,1,0,41,99.95395580688293
319,123,1,0,41,99.97431585948674
320,123,1,0,41,99.99878098755732
321,123,1,0,41,99.99845107722913
322,123,1,0,41,99.9996423050439
323,123,1,0,41,99.99845627933146
324,123,1,0,41,100.0
325,123,1,0,41,99.99835068662689
326,123,0,0,42,99.99856582334957
327,123,1,0,42,99.99704061593289
328,123,1,0,42,99.9921078162992
329,123,1,0,42,99.99534384785245
330,124,1,0,42,99.99653173574865
331,124,1,0,42,99.99145499703728
332,124,1,0,42,99.99727245344812
333,124,1,0,42,99.9811595836264
334,124,1,0,42,99.98844043998821
335,124,1,0,42,100.0
336,124,1,0,42,99.95469899639755
337,124,0,0,43,99.99822308918337
338,124,0,0,43,99.9994141720044
339,124,0,0,43,99.998084262775
340,124,0,0,43,100.0
341,124,0,0,43,100.0
342,124,0,0,43,99.99716222926602
343,124,0,0,43,100.0
344,124,0,0,43,99.99782474404498
345,124,0,0,43,99.99907725012058
346,124,1,0,43,100.0
347,124,1,0,43,99.99879079996329
348,124,1,0,43,99.99522446731406
349,124,0,0,44,99.99636836237599
350,124,0,0,44,99.99793948654164
351,124,0,0,44,100.0
352,124,0,0,44,99.99488736423021
353,124,1,0,44,99.99618665976783
354,124,1,0,44,99.99866408489885
355,124,1,0,44,99.9957383927139
356,124,1,0,44,99.99508801262954
357,124,0,0,45,100.0
358,124,0,0,45,99.99561738270428
359,124,0,0,45,99.98860669406238
360,124,0,0,45,99.99825961709762
361,124,0,0,45,99.99737066241426
362,124,1,0,45,99.99702223137335
363,124,1,0,45,100.0
364,124,1,0,45,100.0
